Day of Completed At Order,Order Number,Lat,Lng,Total weights per order,Region,Address Province Group,Ship Province,Geo District
15-07-2024,R491974083,13.659373,100.714071,5.8,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางพลี
15-07-2024,R462346086,13.61261,100.689285,7,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางพลี
15-07-2024,R309459532,13.728462,100.627426,2.7,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสวนหลวง
15-07-2024,R343964139,13.724458,100.536883,3,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางรัก
15-07-2024,R319440199,13.704347,100.457744,3,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจอมทอง
15-07-2024,R362201671,13.818747,100.639606,13.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบึงกุ่ม
15-07-2024,R278768187,13.80611,100.598887,15,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตลาดพร้าว
15-07-2024,R439416447,13.769377,100.568885,38.6,BKK,กรุงเทพฯ,กรุงเทพมหานคร,ดินแดง
15-07-2024,R731118681,17.419826,102.790917,12.6,UPC,UPC,อุดรธานี,อำเภอเมืองอุดรธานี
15-07-2024,R960583658,13.748572,100.561686,11.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตราชเทวี
15-07-2024,R106339362,13.75497,100.563724,25.8,BKK,กรุงเทพฯ,Krung Thep Maha Nakhon,Khet Ratchathewi
15-07-2024,R171337825,13.656819,100.468281,29.375,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจอมทอง
15-07-2024,R592992390,13.846778,100.539793,16.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางซื่อ
15-07-2024,R304206696,13.700335,100.414372,14.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางแค
15-07-2024,R472335713,13.850079,100.509859,9.8,BKK,นนทบุรี,นนทบุรี,เมือง
15-07-2024,R249485169,13.864243,100.655623,10.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางเขน
15-07-2024,R533643096,13.63546,100.597483,7.3,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอเมืองสมุทรปราการ
15-07-2024,R915539675,13.566645,100.723985,19.8,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางพลี
15-07-2024,R433276269,13.859043,100.617126,37.14,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางเขน
15-07-2024,R737877941,13.739639,100.602732,21.65,BKK,กรุงเทพฯ,Krung Thep Maha Nakhon,Khet Suan Luang
15-07-2024,R280989945,13.816193,100.610403,9.8,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตลาดพร้าว
